Temp (C) -2h,Dew Point Temp (C) -2h,Rel Hum (%) -2h,Wind Dir (10s deg) -2h,Wind Spd (km/h) -2h,Visibility (km) -2h,Stn Press (kPa) -2h,Weather -2h,Temp (C) -1h,Dew Point Temp (C) -1h,Rel Hum (%) -1h,Wind Dir (10s deg) -1h,Wind Spd (km/h) -1h,Visibility (km) -1h,Stn Press (kPa) -1h,Weather -1h,Weather
7.2,6.9,98,8,15,12.9,101.65,TRUE,7.3,6.9,98,9,22,4.8,101.54,TRUE,TRUE
7.3,6.9,98,9,22,4.8,101.54,TRUE,7.5,7,97,8,20,12.9,101.42,TRUE,TRUE
7.5,7,97,8,20,12.9,101.42,TRUE,7.7,6.7,93,8,25,12.9,101.32,TRUE,TRUE
7.7,6.7,93,8,25,12.9,101.32,TRUE,7.5,6.6,94,9,25,16.1,101.23,TRUE,TRUE
7.5,6.6,94,9,25,16.1,101.23,TRUE,7.6,6.6,93,8,22,16.1,101.15,TRUE,TRUE
7.6,6.6,93,8,22,16.1,101.15,TRUE,7.6,6.4,92,8,29,16.1,101.11,TRUE,TRUE
7.6,6.4,92,8,29,16.1,101.11,TRUE,7.2,6.6,95,8,25,12.9,101.09,TRUE,TRUE
7.2,6.6,95,8,25,12.9,101.09,TRUE,7.1,6.6,97,9,26,6.4,101.04,TRUE,TRUE
7.1,6.6,97,9,26,6.4,101.04,TRUE,7,6.6,97,9,26,3.2,101,TRUE,TRUE
7,6.6,97,9,26,3.2,101,TRUE,7.3,6.8,97,8,33,12.9,100.84,TRUE,FALSE
7.3,6.8,97,8,33,12.9,100.84,TRUE,7.9,6.7,93,9,29,32.2,100.63,FALSE,FALSE
7.9,6.7,93,9,29,32.2,100.63,FALSE,8,6.5,90,9,15,32.2,100.52,FALSE,TRUE
8,6.5,90,9,15,32.2,100.52,FALSE,8.4,6.8,90,10,16,32.2,100.31,TRUE,TRUE
8.4,6.8,90,10,16,32.2,100.31,TRUE,8.6,8,96,10,19,24.1,100.23,TRUE,TRUE
8.6,8,96,10,19,24.1,100.23,TRUE,9.4,8.6,94,13,24,32.2,100.15,TRUE,FALSE
9.4,8.6,94,13,24,32.2,100.15,TRUE,9.8,8.6,92,14,23,32.2,100.19,FALSE,FALSE
9.8,8.6,92,14,23,32.2,100.19,FALSE,9.9,7,82,17,26,32.2,100.25,FALSE,FALSE
9.9,7,82,17,26,32.2,100.25,FALSE,9.6,6.6,82,17,19,32.2,100.37,FALSE,FALSE
9.6,6.6,82,17,19,32.2,100.37,FALSE,9.1,6.3,82,15,17,32.2,100.41,FALSE,FALSE
9.1,6.3,82,15,17,32.2,100.41,FALSE,8.3,6.3,87,13,18,32.2,100.5,FALSE,FALSE
8.3,6.3,87,13,18,32.2,100.5,FALSE,8.8,6.2,84,14,22,32.2,100.5,FALSE,FALSE
8.8,6.2,84,14,22,32.2,100.5,FALSE,9.3,6.3,82,15,22,32.2,100.56,FALSE,FALSE
9.3,6.3,82,15,22,32.2,100.56,FALSE,8.4,7,90,13,17,32.2,100.61,FALSE,FALSE
8.4,7,90,13,17,32.2,100.61,FALSE,8.7,7.3,91,13,25,32.2,100.61,FALSE,FALSE
