Temp (°C),Dew Point Temp (°C),Rel Hum (%),Wind Dir (10s deg),Wind Spd (km/h),Visibility (km),Stn Press (kPa),Weather
7.2,6.9,98,8,15,12.9,101.65,Rain
7.3,6.9,98,9,22,4.8,101.54,"Rain,Fog"
7.5,7,97,8,20,12.9,101.42,Moderate Rain
7.7,6.7,93,8,25,12.9,101.32,Rain
7.5,6.6,94,9,25,16.1,101.23,Rain
7.6,6.6,93,8,22,16.1,101.15,Rain
7.6,6.4,92,8,29,16.1,101.11,Rain
7.2,6.6,95,8,25,12.9,101.09,Rain
7.1,6.6,97,9,26,6.4,101.04,"Rain,Fog"
7,6.6,97,9,26,3.2,101,"Rain,Fog"
7.3,6.8,97,8,33,12.9,100.84,Rain
7.9,6.7,93,9,29,32.2,100.63,NA
8,6.5,90,9,15,32.2,100.52,NA
8.4,6.8,90,10,16,32.2,100.31,Rain
8.6,8,96,10,19,24.1,100.23,Rain
9.4,8.6,94,13,24,32.2,100.15,Rain
9.8,8.6,92,14,23,32.2,100.19,Cloudy
9.9,7,82,17,26,32.2,100.25,NA
9.6,6.6,82,17,19,32.2,100.37,NA
9.1,6.3,82,15,17,32.2,100.41,Cloudy
8.3,6.3,87,13,18,32.2,100.5,NA
8.8,6.2,84,14,22,32.2,100.5,NA
9.3,6.3,82,15,22,32.2,100.56,Mostly Cloudy
8.4,7,90,13,17,32.2,100.61,NA
8.7,7.3,91,13,25,32.2,100.61,NA
8.5,7.2,92,12,23,32.2,100.6,Cloudy
8.7,7,89,13,23,32.2,100.56,NA
8.6,7.3,91,13,22,32.2,100.6,NA
8.5,7.5,94,14,24,32.2,100.59,Cloudy
8.3,7.4,94,13,21,24.1,100.56,Rain
8.3,7.4,94,13,19,24.1,100.6,Rain
8.2,7.4,94,12,23,24.1,100.57,Rain
8.2,7.6,96,13,21,19.3,100.54,Rain
8.3,7.5,95,14,24,19.3,100.46,Rain
8.3,7.3,94,12,26,19.3,100.38,Rain
8.2,7.1,93,13,32,19.3,100.25,Rain
8.1,6.7,91,14,39,24.1,100.11,Rain
8.4,7.1,92,14,41,24.1,99.94,Rain
8.5,7.5,93,14,38,19.3,99.83,Rain
8.5,7.7,95,15,27,16.1,99.85,Moderate Rain
8.6,7.9,96,16,33,19.3,99.84,Rain
8.3,7.5,95,19,36,24.1,99.91,Rain
8,7.2,95,19,22,32.2,99.95,Rain
7.4,5,85,21,26,32.2,100.01,Cloudy
7.3,5.7,89,19,22,32.2,100.05,NA
7,4.8,86,18,10,32.2,100.13,NA
7.2,4.3,82,12,10,32.2,100.17,Cloudy
7.6,3.5,75,19,9,32.2,100.27,NA
6.9,3.9,81,9,5,32.2,100.34,NA
4.2,3,92,10,13,32.2,100.39,Mainly Clear
3.2,2.7,97,9,10,32.2,100.47,NA
4,3.5,96,8,13,32.2,100.58,NA
2.9,2.5,97,9,12,32.2,100.68,Mainly Clear
4.1,3.5,96,8,15,32.2,100.76,NA
4.9,3.9,93,8,19,32.2,100.82,NA
6.1,5.4,95,13,21,24.1,100.86,Rain
6,4.8,92,12,18,24.1,100.88,NA
5.3,4.7,95,14,24,4.8,101.04,"Moderate Rain,Fog"
5.7,5,95,15,23,12.9,101.04,Rain
7.1,5.9,92,15,22,24.1,101.06,NA
8.2,5.7,84,17,22,24.1,101.11,NA
8.8,6.2,84,17,28,24.1,101.17,Mostly Cloudy
8.6,6.1,84,15,17,24.1,101.23,NA
8.3,5.8,84,16,20,24.1,101.29,NA
7.4,5.5,88,13,15,24.1,101.32,Mostly Cloudy
6.7,5.3,91,10,17,24.1,101.35,NA
7.2,6,92,8,13,24.1,101.33,NA
7.1,5.9,92,11,18,24.1,101.34,Mainly Clear
6.6,5.7,93,8,19,24.1,101.25,NA
7,5.6,91,7,21,24.1,101.15,NA
6.9,5.1,88,6,15,24.1,101.03,Mostly Cloudy
6.8,4.4,84,7,14,24.1,100.94,NA
6.9,4,81,8,18,24.1,100.77,NA
6.1,4.3,88,10,29,24.1,100.61,Rain
6.6,4.3,85,7,26,24.1,100.39,Rain
6.5,4.7,88,8,19,24.1,100.18,Rain
6.2,5,92,10,38,24.1,100.07,Rain
6.6,5.4,92,9,30,24.1,99.98,Rain
6.5,5.5,93,8,26,24.1,99.93,Rain
6.6,5.8,95,9,17,12.9,99.88,Rain
6.5,6,97,10,13,6.4,99.83,"Moderate Rain,Fog"
6.6,6.2,97,9,13,6.4,99.82,"Moderate Rain,Fog"
6.8,6.5,97,11,10,9.7,99.8,"Rain,Fog"
6.8,6.3,97,24,8,6.4,99.86,"Moderate Rain,Fog"
6.7,6.2,97,25,3,12.9,99.93,Rain
6.8,6.1,95,25,3,16.1,99.96,Cloudy
7.2,6.1,93,19,4,24.1,100.14,NA
7.4,6.3,93,9,4,16.1,100.36,NA
7.4,6.5,94,10,9,24.1,100.51,Cloudy
7,6.4,96,13,4,24.1,100.61,NA
7.2,6.1,93,10,4,24.1,100.68,NA
6,5.2,95,26,5,24.1,100.86,Cloudy
5.8,5.1,95,31,8,24.1,100.96,Rain
4.6,4.1,96,34,4,24.1,101.02,NA
